cat_name,likes_2018,likes_2020
Travel & Events,693766,971463
Autos & Vehicles,1451367,16331335
Science & Technology,19433136,67278880
Film & Animation,101623250,37721937
People & Blogs,82185539,131985877
Music,2071810219,917909891
Sports,68406117,72748632
Entertainment,389668969,396094404
Pets & Animals,8610883,3877654
News & Politics,19507058,6311471
Comedy,73381502,88483377
Education,13267679,27293277
Gaming,51505046,140806073
Howto & Style,37941970,32753194
