cat_name,likes_2018,likes_2020
Sports,35143439,71059718
Autos & Vehicles,2700903,14315858
News & Politics,19109785,10956205
Travel & Events,2252875,2010581
Entertainment,182113870,464265908
Film & Animation,44596360,49107274
People & Blogs,51085931,159616391
Science & Technology,19973286,76250451
Howto & Style,22445667,49098406
Pets & Animals,3509533,5163438
Education,11700780,30975522
Music,271667341,1124097488
Gaming,27060955,179046330
Comedy,93509004,142793712
